name, description, url
Orange County Correctional Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AOrange%20County%20Correctional%20Facility
Allegany County Jail, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AAllegany%20County%20Jail
Nevada Southern Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ANevada%20Southern%20Detention%20Center
Theo Lacy Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ATheo%20Lacy%20Facility
Frederick County Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AFrederick%20County%20Detention%20Center
James A. Musick Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AJames%20A.%20Musick%20Facility
Elizabeth Contract Detention Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AElizabeth%20Contract%20Detention%20Facility
Clinton County Jail, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AClinton%20County%20Jail
El Paso County Criminal Justice Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AEl%20Paso%20County%20Criminal%20Justice%20Center
Burnet County Jail, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ABurnet%20County%20Jail
Geauga County Safety Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AGeauga%20County%20Safety%20Center
Albany County Correctional Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AAlbany%20County%20Correctional%20Facility
Morrow County Correctional Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AMorrow%20County%20Correctional%20Facility
Wayne County Jail, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AWayne%20County%20Jail
Jack Harwell Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AJack%20Harwell%20Detention%20Center
Teller County Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ATeller%20County%20Detention%20Center
Val Verde County Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AVal%20Verde%20County%20Detention%20Center
Karnes County Correctional Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AKarnes%20County%20Correctional%20Center
La Salle County Regional Detention Center
, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ALa%20Salle%20County%20Regional%20Detention%20Center%0A
Brooks County Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ABrooks%20County%20Detention%20Center
Clinton County Correctional Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AClinton%20County%20Correctional%20Facility
Bedford Heights City Jail, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ABedford%20Heights%20City%20Jail
Washoe County Jail, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AWashoe%20County%20Jail
Freeborn County Jail Services, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AFreeborn%20County%20Jail%20Services
LaSalle Detention Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ALaSalle%20Detention%20Facility
Essex County Correctional Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AEssex%20County%20Correctional%20Facility
Henderson Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHenderson%20Detention%20Center
Chautauqua County Jail, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AChautauqua%20County%20Jail
Imperial Regional Detention Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AImperial%20Regional%20Detention%20Facility
Delaney Hall Detention Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ADelaney%20Hall%20Detention%20Facility
Otay Mesa Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AOtay%20Mesa%20Detention%20Center
